code,name,unit_amount,price,maker,release_day
ENQ001,極上チョコレート,700g,740,株式会社 パバロッティフード,平成12年10月
GKX002,最高級紅茶,700ml,900, 株式会社 エメラルド乳業,平成15年03月
JRT003,デリシャスお酢,650ml,350,ふじた産業 株式会社,平成20年12月
CVY004,料理用バター,400g,360,ミヤジケミカル 株式会社,平成14年07月
RVX005,大自然のコーヒー牛乳,650ml,"1,390", 株式会社 タイヨー水産,平成16年07月
MSW006,フレッシュ牛乳,900ml,"1,070",パバロッティ乳業 株式会社,平成15年09月
AOY007,ミルキーチーズ,400g,960,株式会社 ユナイテッド化学工業,平成18年02月
HPW008,大自然がくれたオリーブオイル,1150ml,"1,230",木村冷凍食品 株式会社,平成22年06月
DIM009,みんなのマーガリン,600g,330,ガレット・デ・ロワ乳業 株式会社,平成21年09月
BMT010,極旨豆乳,650ml,"1,570",株式会社 キプフェルフード,平成18年01月
AIZ011,おいしいガーリック,700g,450,株式会社 藤田製糖,平成21年09月
BOZ012,奇跡のスライスチーズ,1150g,"1,300",かりのフード 株式会社,平成21年03月
CLT013,健康お茶,850ml,"1,680", いで化学 株式会社,平成16年12月
EIK014,徳用コーヒー,500ml,810,きむら水産 株式会社,平成13年01月
PQV015,熟成抹茶,650ml,970,株式会社 クルミパンフード,平成13年12月
FRT016,プレミアムミネラルウォーター,900ml,"1,630",株式会社 ショソン・オ・ポムケミカル,平成15年03月
DIR017,ヘルシージャム,950g,"1,590",株式会社 イデイアヌエフード,平成15年10月
CFH018,高級粉チーズ,900g,930, 株式会社 バババイオ,平成13年08月
BHW019,オリジナル緑茶,800ml,"1,270",ありま・井出乳業 株式会社,平成14年10月
IJZ020,からだにやさしい塩,550g,320,株式会社 のなか化学,平成22年01月
FNP021,からだよろこぶウーロン茶,850ml,"1,740",きむら化学 株式会社,平成15年07月
CGP022,健やかスライスチーズ,400g,"1,290", アクアマリン・ダイヤモンド食品工業 株式会社,平成16年02月
NVY023,デラックス緑茶,800ml,900, パリジャン・パン・オー・ルヴァン乳業 株式会社,平成22年12月
MUY024,純正スライスチーズ,750g,530,株式会社 おがわ化成工業,平成20年01月
ESX025,天然オリーブオイル,500ml,540,梅田・大竹水産 株式会社,平成14年09月
EJN026,今までなかったバター,850g,"1,390",株式会社 のなか食品工業,平成20年12月
AKQ027,エクストラチーズ,650g,"1,330",株式会社 かりの乳業,平成13年06月
FKZ028,極上チョコレート,950g,"1,390",株式会社 エメラルドケミカル,平成17年08月
FMU029,オリジナルコーヒー,300ml,"1,660", 早坂食品工業 株式会社,平成21年02月
ADJ030,純正コーヒー牛乳,1050ml,"1,650",株式会社 パバロッティケミカル,平成19年02月
RXY031,熟成コーヒー牛乳,550ml,"1,400",池田乳業 株式会社,平成20年01月
FOW032,今までなかった塩,350g,570, パン・オ・レザン・ガレット・デ・ロワ産業 株式会社,平成14年04月
AIN033,奇跡の豆乳,1050ml,990, ファンデュ・クルミパンケミカル 株式会社,平成12年12月
GUW034,徳用バター,300g,590,おかだ食品工業 株式会社,平成20年10月
CKU035,大自然のミネラルウォーター,1000ml,"1,770", 宮地水産 株式会社,平成18年09月
EQR036,今までなかった塩,1200g,"1,800",大津乳業 株式会社,平成18年03月
HQV037,今までなかったミネラルウォーター,650ml,"1,290",パン・オー・ルヴァンフード 株式会社,平成16年07月
GLS038,おいしい紅茶,900ml,"1,560",シルラミドアフード 株式会社,平成13年04月
GIS039,オリジナル緑茶,600ml,"1,110", オパール食品工業 株式会社,平成14年08月
LMV040,からだよろこぶミネラルウォーター,400ml,"1,800", ほさか食品工業 株式会社,平成17年02月
KOY041,徳用抹茶,400ml,"1,420",のなか乳業 株式会社,平成15年10月
KMX042,大自然のお酢,950ml,700,株式会社 シルラミドア食品工業,平成13年11月
AES043,熟成紅茶,1100ml,490,みやじ食品工業 株式会社,平成14年10月
DHP044,オリジナル紅茶,650ml,"1,390", ドリームランドケミカル 株式会社,平成16年02月
CHY045,極旨バター,1150g,340,ショソン・オ・ポム乳業 株式会社,平成15年11月
ETX046,エクストラお酢,1000ml,"1,320",株式会社 ルビー乳業,平成21年09月
JTV047,からだよろこぶ塩,700g,650, ニューハイブリットオレンジ食品 株式会社,平成16年10月
EST048,熟成ミネラルウォーター,900ml,"1,670",株式会社 のなか乳業,平成14年03月
HLP049,みんなのコーヒー,850ml,"1,120",株式会社 まつもとフード,平成18年05月
BKO050,奇跡の塩,600g,700,ショソン・オ・ポムケミカル 株式会社,平成12年09月
CNW051,からだよろこぶマーガリン,1100g,"1,160",大竹産業 株式会社,平成17年10月
HOV052,天然お茶,1150ml,630,株式会社 フジタバイオ,平成22年06月
KWX053,今までなかったお酢,1100ml,"1,330", パン・オー・ルヴァン冷凍食品 株式会社,平成19年05月
